VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,VarName11,VarName12,VarName13,VarName14,VarName15,VarName16,VarName17,VarName18,VarName19
0,1.1,-0.1,1.08647759,2.1,0.9,-1,1.8,2.2,-1,-0.2,-0.2,0,0,0,0,0,0,
1,1,0,1.01220728,2,1,-1,2,1.77941475,0.96263416,-0.40555075,2.56221081,0.18623402,-0.1764682,0.77010733,-0.51192836,0.4755594,2.04976865,
2,0.0882341,-0.38505366,0.1061976,-0.20858546,-0.68187322,-1,1.22989267,0.35764121,-0.58119015,-1.05798242,1.61533922,0.0698967,0.10964477,0.30515521,0.26053678,0.04872594,2.31831097,
3,0.27972693,-0.56822263,0.20502629,-0.00876876,-0.85671833,-1,0.86355474,0.46045982,-0.16241796,-1.53622934,0.89160561,0.32900536,-0.05726629,0.84025289,0.2756701,-0.41923828,2.08610289,
4,0.2810295,-0.5835582,0.25602905,-0.0214992,-0.8860869,-1,0.8328836,0.21482405,-0.33545769,-0.61973345,1.42762215,0.40392579,-0.28924122,0.83337754,0.23674142,0.22036559,2.49301142,
5,0.21824555,-0.54851803,0.23337963,-0.11202693,-0.87879051,-1,0.90296394,-0.44700807,-0.73377242,-1.14184758,1.1216512,0.29287519,-0.76464757,0.45728642,0.11973455,-0.06940495,2.27355209,
6,0.44877805,-0.32903184,0.2009236,0.56852427,-0.20928563,-1,1.34193632,0.07883135,-0.61396238,-1.84487837,0.69089527,0.29231373,-0.80790933,0.12673832,0.10071333,-0.68978369,1.53387758,
7,0.52665949,-0.15259166,0.22423886,0.90072733,0.22147617,-1,1.69481668,0.41336656,0.12748675,-0.9422008,2.09545109,0.32788925,-0.6735438,0.37148372,-0.01290824,-0.09171738,2.22728304,
8,0.40051388,-0.28276629,0.08798514,0.51826147,-0.16501871,-1,1.43446741,0.65008733,0.22478842,-0.16188359,2.19081916,0.16349398,-0.2554611,0.70655355,-0.05287523,0.65214965,2.650538,
9,0.13645618,-0.39969918,0.10255404,-0.12678683,-0.66294219,-1,1.20060163,0.52715763,-0.71004487,-0.94307576,1.20163169,-0.02411223,0.152304,0.2127935,0.08902893,0.17596932,2.13093165,
10,0.27192744,-0.54559561,0.2646607,-0.00174073,-0.81926378,-1,0.90880878,-0.24939924,-1.29894105,-1.68402707,0.5703934,-0.00641843,-0.6041425,-0.12364116,0.09738534,-0.5120278,1.75545402,
11,0.54838835,-0.16906786,0.23766845,0.92770884,0.21025263,-1,1.66186428,0.80293514,0.74319742,-1.16093456,1.85290345,0.24328169,-0.35590175,0.84033828,0.03139641,-0.23115321,2.10392214,
12,0.22160119,-0.46200286,0.16084669,-0.01880049,-0.70240454,-1,1.07599428,0.22740138,-0.44340662,-0.61254824,1.695927,0.20915071,-0.24382114,0.55254693,0.23884909,0.26373077,2.5167306,
13,0.25074416,-0.53087004,0.21099914,-0.02938171,-0.81099592,-1,0.93825992,-0.0884495,-0.51437959,-0.77092285,1.25129379,0.29470515,-0.52071449,0.54839778,0.13236855,0.23600788,2.35377322,
14,0.35481952,-0.45316508,0.17066388,0.25647396,-0.55151064,-1,1.09366984,0.74521365,-0.14997903,-1.13016185,1.01854759,0.1968873,-0.0756832,0.71476046,0.01880857,-0.0569279,2.01065684,
15,0.22456723,-0.52655077,0.18768672,-0.07741632,-0.82853432,-1,0.94689845,0.46657177,-0.30581577,-1.22794043,0.78552142,0.24755141,-0.00118678,0.74078072,0.02062079,-0.19373793,1.87302974,
16,0.25290192,-0.53859788,0.25423552,-0.03279404,-0.82429384,-1,0.92280424,-0.41660388,-1.28126606,-1.26807997,1.02570065,0.07014611,-0.73816353,-0.0151001,0.09210406,-0.25321156,2.05692308,
17,0.54698351,-0.22154448,0.20091026,0.87242255,0.10389455,-1,1.55691104,1.1451501,0.83075524,-1.1360222,0.78586521,0.14388614,-0.10668625,1.01605534,-0.15158062,-0.15946007,1.39454795,
