VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,VarName11,VarName12,VarName13,VarName14,VarName15,VarName16,VarName17,VarName18,VarName19
25,0.34890147,-0.44702147,0.21123818,0.25078147,-0.54514147,-1,1.10595707,-0.16574563,-1.21394014,-0.44780072,1.56887657,0.11885193,-0.43445948,0.23860195,0.02647952,0.23310877,2.15051529,
26,0.39238091,-0.41904658,0.17883248,0.36571524,-0.44571225,-1,1.16190684,0.37322714,-0.22014468,-0.85666479,1.62294647,0.15879314,-0.42987452,0.31447126,-0.00975766,0.21515405,2.21262016,
27,0.34634509,-0.39531979,0.12855765,0.29737038,-0.4442945,-1,1.20936042,0.65844614,-0.44077778,-0.51107447,1.91788797,0.10573221,-0.35074842,0.32154937,-0.02397291,0.26990835,2.31180164,
28,0.29055582,-0.39945387,0.16718223,0.18165777,-0.50835192,-1,1.20109226,-0.15422291,-0.42025863,-0.61202511,1.62944327,0.12761576,-0.42766565,0.33296932,0.00794265,0.29352166,2.33511151,
29,0.32342713,-0.40352824,0.10003544,0.24332602,-0.48362934,-1,1.19294353,0.53461669,-0.04192663,-0.1273416,1.6486772,0.14995376,-0.36458003,0.41940142,-0.02466586,0.40934901,2.35923594,
30,0.26539687,-0.42270229,0.13501941,0.10809145,-0.58000772,-1,1.15459541,0.38575596,-1.31499495,-0.42557461,1.16934943,0.05465143,-0.32067158,0.24160307,0.00218846,0.44236428,2.29033956,
31,0.29619266,-0.45640787,0.15463562,0.13597746,-0.61662307,-1,1.08718426,0.35045548,-0.07498187,-2.21114832,0.4780586,0.12066595,-0.30492323,0.36084922,0.08791841,0.11166176,2.11044651,
32,0.36513317,-0.46366644,0.16736885,0.2665999,-0.56219971,-1,1.07266712,0.84889152,-0.63257654,-0.83966994,1.14310979,0.09792835,-0.22021355,0.34763065,0.0696202,0.12139542,2.10244574,
33,0.33871044,-0.47412507,0.19716468,0.20329581,-0.60953971,-1,1.05174985,-0.07648501,-1.54719393,-0.55095069,0.87101151,0.04240173,-0.32695202,0.15831576,0.0266862,0.1869262,2.04580893,
34,0.40581924,-0.4316276,0.15797286,0.38001089,-0.45743595,-1,1.1367448,0.5097838,0.6619852,-0.91833506,1.05114431,0.16365516,-0.32193255,0.43170069,-0.07007013,0.16587395,2.01952704,
35,0.30699883,-0.42174292,0.18789366,0.19225473,-0.53648702,-1,1.15651416,-0.59652307,-1.28525701,-1.89016804,0.90805323,0.12227812,-0.49965019,0.25700632,-0.01354829,-0.04533445,1.96592945,
36,0.41852695,-0.33700143,0.11319031,0.50005248,-0.2554759,-1,1.32599715,1.24883846,0.03907684,-1.16669012,1.76468397,0.10346355,-0.31736324,0.34822099,-0.10060485,-0.06960559,2.06048093,
37,0.29010816,-0.34299846,0.08854469,0.23721787,-0.39588875,-1,1.31400309,0.60225431,0.12681694,-1.64994674,1.51999694,0.08366405,-0.24948299,0.44113956,-0.02287825,-0.18567382,2.08958351,
38,0.27154548,-0.38416143,0.13602999,0.15892953,-0.49677737,-1,1.23167714,-0.21278455,-0.46101909,-1.33734957,0.75412964,0.12535765,-0.3507615,0.4143724,0.03561958,-0.21600897,1.97615731,
39,0.35081335,-0.38204893,0.14437412,0.31957777,-0.41328451,-1,1.23590214,0.94213025,-0.52516545,-0.61090341,0.78601488,0.09828007,-0.23250849,0.37928441,-0.02148567,-0.09498786,1.89094839,
40,0.34010428,-0.40898824,0.13707587,0.27122033,-0.4778722,-1,1.18202352,0.76288758,-0.46454327,-1.08840608,1.45086615,0.07891905,-0.16947099,0.37411417,0.05573445,-0.0936715,1.96652724,
0,1.1,-0.1,1.12899489,2.1,0.9,-1,1.8,2.2,-1,-0.2,-0.2,0,0,0,0,0,0,
1,1,0,1.00685956,2,1,-1,2,2.29448494,1.30492329,-0.97263446,1.88579949,-0.05752508,0.05889699,0.26098466,0.00631584,0.00547311,0.3771599,
2,0.976467,-0.16936411,0.8039778,1.7835699,0.63773879,-1,1.66127179,1.99480007,1.07756819,-0.71867438,1.99079069,-0.00539115,0.0554908,0.49204701,0.00541683,0.06064361,0.7676317,
3,0.91573293,-0.33801904,0.6199899,1.49344681,0.23969485,-1,1.32396192,1.86909625,0.21286057,-0.3706986,2.14936489,0.05140645,0.05191872,0.57141734,0.04637896,0.17437517,1.17918595,
4,0.85768006,-0.49283102,0.54989758,1.22252911,-0.12798198,-1,1.01433796,1.75020628,-0.2175746,-0.16465995,1.84558715,0.0983163,0.04850421,0.61075136,0.11851926,0.30656815,1.5095986,
5,0.81626397,-0.62355083,0.56208705,1.0089771,-0.43083769,-1,0.75289834,1.25139728,-0.45639959,-0.9198309,0.66506613,0.2063561,-0.03742276,0.6467415,0.24648916,0.26128834,1.59011244,
6,0.85973072,-0.65111756,0.6376648,1.06834388,-0.4425044,-1,0.69776488,0.77692012,-0.58246472,-0.82631786,0.51738018,0.33136117,-0.21844647,0.66134728,0.16817631,0.2437671,1.63601301,
7,0.70704602,-0.62919498,0.49879912,0.78489705,-0.55134394,-1,0.74161004,1.03577254,-1.11942644,-1.33022881,0.37665567,0.21839207,-0.25042108,0.55687053,0.13794529,0.12896792,1.63581954,
8,0.61278163,-0.56338363,0.32028242,0.66217963,-0.51398564,-1,0.87323274,0.79322806,-0.65755199,-1.50402794,1.03320354,0.15784136,-0.2868039,0.53933948,0.11898229,0.00236874,1.74064979,
9,0.48867098,-0.51536493,0.24083162,0.46197703,-0.54205888,-1,0.96927014,0.59106238,-0.45343345,-1.67316417,0.26397621,0.12162069,-0.30669904,0.54693086,0.02883824,-0.13273784,1.65146104,
10,0.42835218,-0.45397337,0.2057982,0.402731,-0.47959456,-1,1.09205326,0.25022731,-0.38610776,-0.0279001,1.85314362,0.11821674,-0.36665464,0.54191249,-0.08439017,0.08822971,1.87338691,
11,0.32491663,-0.42872286,0.14057275,0.22111041,-0.53252908,-1,1.14255428,0.46858923,-0.34151491,-1.08774429,0.50708179,0.07954227,-0.32957252,0.53671615,-0.13698735,0.05303491,1.77161503,
12,0.31486746,-0.41696768,0.12854322,0.21276724,-0.5190679,-1,1.16606465,1.2696355,-0.54845668,-1.11358204,1.37427155,0.01055515,-0.1356779,0.48646865,-0.09877751,0.01971152,1.8589334,
13,0.27524805,-0.44727551,0.11187107,0.10322059,-0.61930297,-1,1.10544898,0.82947043,0.09416741,-0.43801194,1.38999283,0.0562381,-0.05274745,0.58691861,-0.03954814,0.12816683,1.94405549,
14,0.24919083,-0.52298553,0.20107688,-0.02460386,-0.79678022,-1,0.95402895,0.11181526,-0.9267919,-1.94501349,0.44571148,0.08426436,-0.11951124,0.49337072,0.09384865,-0.08646924,1.8535809,
15,0.38339679,-0.50059718,0.22225153,0.2661964,-0.61779756,-1,0.99880565,0.65543183,-0.97051147,-0.31532065,2.08108861,0.04794946,-0.11788134,0.40083315,0.0994632,0.06776048,2.09932131,
16,0.31753925,-0.50344922,0.26451194,0.13162927,-0.6893592,-1,0.99310155,-0.72046177,-1.75236803,-1.16033662,1.00555886,0.02613358,-0.36541313,0.1715726,0.09822514,0.02214106,2.08194851,
17,0.428319,-0.40517726,0.14469373,0.45146074,-0.38203551,-1,1.18964549,0.94719212,0.30594461,-0.98962719,0.35390609,0.08191873,-0.27421968,0.36051791,-0.15097071,0.01978741,1.89841093,
18,0.29357803,-0.36634132,0.08090262,0.22081474,-0.43910461,-1,1.26731736,0.13971366,0.04548398,-1.0349581,1.23764462,0.08016373,-0.30886422,0.44404765,-0.18140368,0.00883831,1.9127942,
19,0.26579984,-0.35677245,0.12295105,0.17482723,-0.44774506,-1,1.28645509,0.44081991,-0.50175208,-1.45870383,0.77924685,0.05880921,-0.26524734,0.39759669,-0.16185209,-0.08467012,1.82879371,
20,0.28751477,-0.35777097,0.09647237,0.21725856,-0.42802717,-1,1.28445806,0.27127165,-0.28486698,-1.69530814,0.83493524,0.07741792,-0.27294944,0.40421234,-0.1045738,-0.20679772,1.7731304,
21,0.31931866,-0.36127987,0.0841282,0.27735744,-0.40324108,-1,1.27744026,0.76261977,-0.01807435,-0.82099612,0.86664004,0.08332712,-0.19356306,0.46426695,-0.11706557,-0.1296374,1.73634428,
22,0.30537778,-0.40367823,0.14177628,0.20707732,-0.50197868,-1,1.19264354,0.45187827,-0.6648009,-1.49897054,0.69071211,0.07857602,-0.18662591,0.39992467,-0.036441,-0.20350403,1.68868914,
23,0.37011792,-0.40298626,0.19635713,0.33724959,-0.43585459,-1,1.19402749,0.14394034,-0.31465829,0.10403298,2.22250964,0.13543807,-0.26855983,0.41820258,-0.03170091,0.05800337,1.95664774,
24,0.32761025,-0.43295587,0.12875447,0.22226463,-0.53830149,-1,1.13408826,0.1236166,0.26579313,-2.07427676,-0.44542041,0.20886694,-0.32116864,0.56090304,-0.02375459,-0.16845266,1.64941646,
25,0.38555761,-0.43176539,0.2133622,0.33934983,-0.47797317,-1,1.13646921,0.29250557,-0.87417734,-0.88188308,1.06018741,0.19309225,-0.35265685,0.44659312,-0.02279004,-0.11113874,1.7042768,
26,0.40469902,-0.40648533,0.14051678,0.40291272,-0.40827163,-1,1.18702934,0.77801409,0.02461267,-1.11778521,1.18450621,0.18377647,-0.28840227,0.52479116,-0.03834217,-0.11246803,1.76291682,
27,0.34970667,-0.42940909,0.14375001,0.27000426,-0.5091115,-1,1.14118183,0.74378583,0.02636602,-1.67006246,1.49346323,0.18428776,-0.22184732,0.59686977,0.07723679,-0.22398692,1.88078973,
28,0.33709776,-0.47166364,0.16897292,0.20253188,-0.60622952,-1,1.05667272,0.15703105,-0.20125283,-1.63209934,0.87631062,0.23681197,-0.28091075,0.6259107,0.15481228,-0.3056094,1.86855937,
29,0.37571319,-0.47755118,0.21556422,0.2738752,-0.57938917,-1,1.04489764,-0.3966796,-0.35249384,-0.76386923,1.49734508,0.31417236,-0.4543498,0.62125027,0.16326731,-0.19726137,1.98533698,
30,0.38920882,-0.45591146,0.16812942,0.32250619,-0.5226141,-1,1.08817708,0.830665,-0.70442268,-1.2616995,1.17860723,0.22209067,-0.35303037,0.53848026,0.13242794,-0.210149,2.00635562,
31,0.36376367,-0.44269051,0.20643443,0.28483683,-0.52161734,-1,1.11461898,0.19114123,-0.7250715,-1.55052846,1.04575115,0.19363499,-0.38970152,0.46284611,0.12284089,-0.27822489,1.99131093,
32,0.37855638,-0.40204861,0.1781002,0.35506414,-0.42554084,-1,1.19590278,-0.4013315,-0.31902749,-0.4947399,1.55463727,0.24581308,-0.54345006,0.46729084,0.02048163,-0.12152789,2.06479564,
33,0.37062902,-0.35340267,0.12832004,0.38785538,-0.33617632,-1,1.29319466,0.02869078,0.02188811,-0.85701952,1.20720954,0.25255473,-0.5772735,0.51957136,-0.08465655,-0.06862622,2.03463949,
34,0.33803866,-0.32389852,0.14011289,0.3521788,-0.30975838,-1,1.35220296,0.26028446,-0.76831406,-1.9646844,0.76578299,0.17921959,-0.54497737,0.39155368,-0.07455159,-0.24783785,1.9104276,
35,0.36296593,-0.29195848,0.11181671,0.43397339,-0.22095102,-1,1.41608305,0.69116733,-0.29698295,-1.03452831,1.95397661,0.14248329,-0.44293481,0.37062975,-0.06747984,-0.20517594,2.03592079,
36,0.3286173,-0.31101989,0.15375494,0.34621471,-0.29342248,-1,1.37796021,-0.46634295,-1.36057734,-1.0182008,0.7345664,0.12517893,-0.57906336,0.14879629,-0.06273539,-0.16778092,1.90005787,
37,0.44225761,-0.25594655,0.1899693,0.62856867,-0.06963548,-1,1.48810691,0.2510308,-0.45372881,-1.5081676,0.82469307,0.19101515,-0.58994757,0.13066989,-0.10499183,-0.23585825,1.78736353,
38,0.44110129,-0.22375818,0.12151915,0.65844441,-0.00641507,-1,1.55248363,0.99765143,0.26402112,-1.20548455,1.68250085,0.1459353,-0.44886829,0.24684341,-0.10715668,-0.22978351,1.85589427,
39,0.36996554,-0.27739346,0.15665593,0.46253761,-0.18482138,-1,1.44521308,0.66459738,-0.47988763,-0.14867598,1.96293646,0.10009173,-0.37416137,0.21245458,-0.05865024,-0.01356201,1.98826009,
40,0.37164265,-0.34326319,0.20121657,0.40002212,-0.31488373,-1,1.31347362,-0.17219028,-1.20219724,-1.33173985,1.2669986,0.11346839,-0.48242421,0.06682949,0.08176894,-0.07719757,1.98131307,
0,1.1,-0.1,1.14022567,2.1,0.9,-1,1.8,2.2,-1,-0.2,-0.2,0,0,0,0,0,0,
